targetId,comparatorId,outcomeId,outcomeName,type
3316,3317,434165,Abnormal cervical smear,outcome
3316,3317,436409,Abnormal pupil,outcome
3316,3317,199192,Abrasion and/or friction burn of trunk without infection,outcome
3316,3317,4088290,Absence of breast,outcome
3316,3317,4092879,Absent kidney,outcome
3316,3317,436634,Acariasis,outcome
3316,3317,44783954,Acid reflux,outcome
3316,3317,75911,Acquired hallux valgus,outcome
3316,3317,137951,Acquired keratoderma,outcome
3316,3317,77965,Acquired trigger finger,outcome
3316,3317,376707,Acute conjunctivitis,outcome
3316,3317,4103640,Amputated foot,outcome
3316,3317,432595,Amyloidosis,outcome
3316,3317,73241,Anal and rectal polyp,outcome
3316,3317,437082,Ankylosing spondylitis,outcome
3316,3317,77650,Aseptic necrosis of bone,outcome
3316,3317,378424,Astigmatism,outcome
3316,3317,374923,Bell's palsy,outcome
3316,3317,4110709,Benign epithelial neoplasm of skin,outcome
3316,3317,133655,Burn of forearm,outcome
3316,3317,73560,Calcaneal spur,outcome
3316,3317,434327,Cannabis abuse,outcome
3316,3317,4213540,Cervical somatic dysfunction,outcome
3316,3317,381581,Chalazion,outcome
3316,3317,140842,Changes in skin texture,outcome
3316,3317,438531,Chondromalacia,outcome
3316,3317,81378,Chondromalacia of patella,outcome
3316,3317,432303,Cocaine abuse,outcome
3316,3317,4201390,Colostomy present,outcome
3316,3317,46269889,Complication due to Crohn's disease,outcome
3316,3317,134438,Contact dermatitis,outcome
3316,3317,78619,Contusion of knee,outcome
3316,3317,201606,Crohn's disease,outcome
3316,3317,260134,Croup,outcome
3316,3317,76786,Derangement of knee,outcome
3316,3317,4115402,Difficulty sleeping,outcome
3316,3317,443767,Disorder of eye due to diabetes mellitus,outcome
3316,3317,45757370,Disproportion of reconstructed breast,outcome
3316,3317,433111,Effects of hunger,outcome
3316,3317,441589,Endocarditis,outcome
3316,3317,200775,Endometrial hyperplasia,outcome
3316,3317,433527,Endometriosis,outcome
3316,3317,73008,Enthesopathy,outcome
3316,3317,4249170,Epicondylitis,outcome
3316,3317,4170770,Epidermoid cyst,outcome
3316,3317,4345472,Epstein-Barr virus disease,outcome
3316,3317,4092896,Feces contents abnormal,outcome
3316,3317,259995,Foreign body in orifice,outcome
3316,3317,4050747,Fracture of upper limb,outcome
3316,3317,196456,Gallstone,outcome
3316,3317,40481632,Ganglion cyst,outcome
3316,3317,4166231,Genetic predisposition,outcome
3316,3317,74855,Genital herpes simplex,outcome
3316,3317,433577,Hammer toe,outcome
3316,3317,441818,Hemangioma,outcome
